date,workerid,amount
Thu Feb 14 08:41:49 PST 2019,A32EHTVM3HPZJ8,0.5
Thu Feb 14 10:06:55 PST 2019,A1C9YRLTCV4ERP,0.5
Thu Feb 14 13:05:43 PST 2019,A21QP81YIVOQ0R,0.5
Fri Feb 15 00:04:27 PST 2019,A16MSUA16BXLX2,0.5
Fri Feb 15 00:30:10 PST 2019,A11RF5IYJQL5B,0.5
Fri Feb 15 04:43:11 PST 2019,A1U3EQAPRGEQW5,0.5
Fri Feb 15 18:48:36 PST 2019,A1Q9SJY06JLVL4,0.5
Sat Feb 16 14:49:49 PST 2019,AZ6XACZD4J9VW,0.5
Sat Feb 16 21:50:51 PST 2019,AAK5D0UWF4L1K,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
