date,workerid,amount
Thu Feb 14 16:16:52 PST 2019,A24QVHC7DF0RHQ,0.5
Thu Feb 14 16:19:13 PST 2019,A1RV10AL0TKP36,0.5
Thu Feb 14 19:42:12 PST 2019,A2KH9SC6A8VQXZ,0.5
Thu Feb 14 20:12:01 PST 2019,A1WUZOLVPEXOLE,0.5
Thu Feb 14 21:44:32 PST 2019,A1O80Q1PXPMJ11,0.5
Fri Feb 15 00:43:39 PST 2019,A290ERYABTGYDS,0.5
Fri Feb 15 05:55:11 PST 2019,A2R4NG0Y7QAWOU,0.5
Fri Feb 15 06:54:40 PST 2019,A3AJ220TQAP9O4,0.5
Fri Feb 15 09:07:37 PST 2019,A2Z84R77FK63N,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
