date,workerid,amount
Thu Feb 14 08:41:27 PST 2019,A17MG650X3U09C,0.5
Thu Feb 14 08:42:02 PST 2019,A1HZXKVQSWNKRA,0.5
Thu Feb 14 08:46:36 PST 2019,A23X9GJ1DMZTXI,0.5
Thu Feb 14 08:53:09 PST 2019,A3P64UEBZ13AIE,0.5
Thu Feb 14 09:26:23 PST 2019,AOYQ6FLVQO6JJ,0.5
Thu Feb 14 10:55:17 PST 2019,A3L7FCPKZ3LGNK,0.5
Thu Feb 14 18:21:33 PST 2019,A1ZMAJ9P7P4DEN,0.5
Thu Feb 14 18:50:29 PST 2019,A1BF1W2XN5BWFQ,0.5
Thu Feb 14 21:47:13 PST 2019,A3OH0ZDD2MMZFH,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
