date,workerid,amount
Thu Feb 14 08:43:16 PST 2019,A1OAPKSCEYJC37,0.5
Thu Feb 14 08:53:58 PST 2019,A1EK8YNHZHTW1J,0.5
Thu Feb 14 19:38:58 PST 2019,A3U2FA6C5HHHBN,0.5
Thu Feb 14 19:57:15 PST 2019,A1TE5CML1V34WP,0.5
Thu Feb 14 21:44:26 PST 2019,A31BHRW6QKVBQ9,0.5
Thu Feb 14 21:50:27 PST 2019,AL2UL9VUA2UPV,0.5
Fri Feb 15 10:17:27 PST 2019,A1WPQ0GSOI582M,0.5
Sat Feb 16 04:13:40 PST 2019,A2Q1Y6Z2E1XOPZ,0.5
Sat Feb 16 12:31:58 PST 2019,A2J3WQ6GQDQ1LP,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
