date,workerid,amount
Thu Feb 14 08:57:44 PST 2019,A3CRRFF9J9ZTRO,0.5
Thu Feb 14 09:17:02 PST 2019,A2DJ2UT4M4X5BO,0.5
Thu Feb 14 09:28:54 PST 2019,A20ITEYVM8GWS5,0.5
Thu Feb 14 12:48:18 PST 2019,A2ZPPP0XVV8C0W,0.5
Thu Feb 14 19:57:27 PST 2019,A3KYQT21GQY4X0,0.5
Thu Feb 14 23:17:50 PST 2019,A1TQ7UQSSQP7BD,0.5
Thu Feb 14 23:32:48 PST 2019,A1Y2N49VMVJ7C6,0.5
Fri Feb 15 08:21:44 PST 2019,ATUCZB2W7VVI7,0.5
Fri Feb 15 23:46:55 PST 2019,A1ENHFQSXOXG6I,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
